id,question
1812a987,What's the minimum lot size in the SF-1 district?
1812a987,My lot is smaller than the minimum in SF-1 — can I still build?
1812a987,What are the rules for small substandard lots?
1812a987,How wide does a lot have to be to build a house?
1812a987,Can I develop a lot platted before the current code?
9edf816c,What's the how tall limit for buildings in SF-1?
9edf816c,How is building height measured in the SF-1 district?
9edf816c,Can my chimney go above the height limit in SF-1?
9edf816c,What is the tallest structure allowed in SF-1?
9edf816c,Is there a way to build taller than the height limit in SF-1?
8303814f,What's the maximum lot coverage in the SF-1 district?
8303814f,Does a deck count toward lot coverage in SF-1?
8303814f,How much how much of my lot I can build on is allowed on a SF-1 lot?
8303814f,What is the FAR limit in SF-1?
8303814f,Do covered porches count against impervious cover?
4de6af2c,What is the distance from the property line in the SF-1 zone?
4de6af2c,How close to the street can I build in SF-1?
4de6af2c,What are the required yards for a house zoned SF-1?
4de6af2c,Can my roof eaves stick into the required yard?
4de6af2c,What's the yard requirement on a corner lot in SF-1?
d99fb472,What's the minimum lot size in the SF-2 district?
d99fb472,My lot is smaller than the minimum in SF-2 — can I still build?
d99fb472,What are the rules for small substandard lots?
d99fb472,How wide does a lot have to be to build a house?
d99fb472,Can I develop a lot platted before the current code?
4296f66c,What's the vertical limit limit for buildings in SF-2?
4296f66c,How is building number of stories measured in the SF-2 district?
4296f66c,Can my chimney go above the height limit in SF-2?
4296f66c,What is the tallest structure allowed in SF-2?
4296f66c,Is there a way to build taller than the vertical limit limit in SF-2?
6685476e,What's the maximum lot coverage in the SF-2 district?
6685476e,Does a deck count toward FAR in SF-2?
6685476e,How much how much of my lot I can build on is allowed on a SF-2 lot?
6685476e,What is the FAR limit in SF-2?
6685476e,Do covered porches count against lot coverage?
7999ced8,What is the distance from the property line in the SF-2 zone?
7999ced8,How close to the street can I build in SF-2?
7999ced8,What are the required yards for a house zoned SF-2?
7999ced8,Can my roof eaves stick into the required yard?
7999ced8,What's the distance from the property line on a corner lot in SF-2?
97cc8c3a,What's the minimum lot size in the SF-3 district?
97cc8c3a,My lot is smaller than the minimum in SF-3 — can I still build?
97cc8c3a,What are the rules for small substandard lots?
