id,section,district,category,title,text
1812a987,2.1.1,SF-1,lot standards,Minimum lot size in SF-1,"In the SF-1 (Single-Family Large Lot) zoning district, the minimum lot area for a detached single-family or residential use is 10,000 square feet. A lot legally platted before the effective date of this code that does not meet the minimum lot area is a legal nonconforming small lot and may be developed subject to the small-lot standards in Section 6.3."
9edf816c,2.1.2,SF-1,height,Maximum building height in SF-1,"The maximum height of a principal structure in the SF-1 (Single-Family Large Lot) district is 35 feet, measured from the average of the highest and lowest grade adjacent to the building to the highest point of the roof. Chimneys, antennas, and rooftop mechanical equipment may exceed the height limit by up to 5 feet if set back from all roof edges."
8303814f,2.1.3,SF-1,lot coverage,Maximum impervious cover and building coverage in SF-1,"In the SF-1 district, maximum building coverage is 35 percent of gross lot area and maximum floor-to-area ratio (FAR) is 0.35. Building coverage includes the principal structure, accessory buildings larger than 120 square feet, and covered porches. Uncovered decks, pools, and at-grade patios are excluded from building coverage but count toward impervious cover, which may not exceed 45 percent."
4de6af2c,2.1.4,SF-1,setbacks,Setback requirements in SF-1,"Required yards in the SF-1 (Single-Family Large Lot) district are: front setback 40 feet, interior side setback 10 feet, and rear setback 20 feet. On a corner lot, the street side setback is 15 feet. Eaves, bay windows, and similar architectural features may project up to 2 feet into a required yard. No setback reduction is permitted within a floodplain overlay."
d99fb472,2.2.1,SF-2,lot standards,Minimum lot size in SF-2,"In the SF-2 (Single-Family Standard Lot) zoning district, the minimum lot area for a detached single-family or residential use is 5,750 square feet. A lot legally platted before the effective date of this code that does not meet the minimum lot area is a legal nonconforming small lot and may be developed subject to the small-lot standards in Section 6.3."
4296f66c,2.2.2,SF-2,height,Maximum building height in SF-2,"The maximum height of a principal structure in the SF-2 (Single-Family Standard Lot) district is 35 feet, measured from the average of the highest and lowest grade adjacent to the building to the highest point of the roof. Chimneys, antennas, and rooftop mechanical equipment may exceed the height limit by up to 5 feet if set back from all roof edges."
6685476e,2.2.3,SF-2,lot coverage,Maximum impervious cover and building coverage in SF-2,"In the SF-2 district, maximum building coverage is 40 percent of gross lot area and maximum floor-to-area ratio (FAR) is 0.4. Building coverage includes the principal structure, accessory buildings larger than 120 square feet, and covered porches. Uncovered decks, pools, and at-grade patios are excluded from building coverage but count toward impervious cover, which may not exceed 50 percent."
7999ced8,2.2.4,SF-2,setbacks,Setback requirements in SF-2,"Required yards in the SF-2 (Single-Family Standard Lot) district are: front setback 25 feet, interior side setback 5 feet, and rear setback 10 feet. On a corner lot, the street side setback is 15 feet. Eaves, bay windows, and similar architectural features may project up to 2 feet into a required yard. No setback reduction is permitted within a floodplain overlay."
97cc8c3a,2.3.1,SF-3,lot standards,Minimum lot size in SF-3,"In the SF-3 (Family Residence) zoning district, the minimum lot area for a detached single-family or residential use is 5,750 square feet. A lot legally platted before the effective date of this code that does not meet the minimum lot area is a legal nonconforming small lot and may be developed subject to the small-lot standards in Section 6.3."
db4c787c,2.3.2,SF-3,height,Maximum building height in SF-3,"The maximum height of a principal structure in the SF-3 (Family Residence) district is 35 feet, measured from the average of the highest and lowest grade adjacent to the building to the highest point of the roof. Chimneys, antennas, and rooftop mechanical equipment may exceed the height limit by up to 5 feet if set back from all roof edges."
270584bc,2.3.3,SF-3,lot coverage,Maximum impervious cover and building coverage in SF-3,"In the SF-3 district, maximum building coverage is 40 percent of gross lot area and maximum floor-to-area ratio (FAR) is 0.4. Building coverage includes the principal structure, accessory buildings larger than 120 square feet, and covered porches. Uncovered decks, pools, and at-grade patios are excluded from building coverage but count toward impervious cover, which may not exceed 50 percent."
fbd1c497,2.3.4,SF-3,setbacks,Setback requirements in SF-3,"Required yards in the SF-3 (Family Residence) district are: front setback 25 feet, interior side setback 5 feet, and rear setback 10 feet. On a corner lot, the street side setback is 15 feet. Eaves, bay windows, and similar architectural features may project up to 2 feet into a required yard. No setback reduction is permitted within a floodplain overlay."
5e802cfd,2.4.1,MF-1,lot standards,Minimum lot size in MF-1,"In the MF-1 (Multifamily Limited Density) zoning district, the minimum lot area for a detached single-family or residential use is 8,000 square feet. A lot legally platted before the effective date of this code that does not meet the minimum lot area is a legal nonconforming small lot and may be developed subject to the small-lot standards in Section 6.3."
d1e473b1,2.4.2,MF-1,height,Maximum building height in MF-1,"The maximum height of a principal structure in the MF-1 (Multifamily Limited Density) district is 40 feet, measured from the average of the highest and lowest grade adjacent to the building to the highest point of the roof. Chimneys, antennas, and rooftop mechanical equipment may exceed the height limit by up to 5 feet if set back from all roof edges."
ffdceede,2.4.3,MF-1,lot coverage,Maximum impervious cover and building coverage in MF-1,"In the MF-1 district, maximum building coverage is 45 percent of gross lot area and maximum floor-to-area ratio (FAR) is 0.6. Building coverage includes the principal structure, accessory buildings larger than 120 square feet, and covered porches. Uncovered decks, pools, and at-grade patios are excluded from building coverage but count toward impervious cover, which may not exceed 55 percent."
88749d02,2.4.4,MF-1,setbacks,Setback requirements in MF-1,"Required yards in the MF-1 (Multifamily Limited Density) district are: front setback 25 feet, interior side setback 10 feet, and rear setback 15 feet. On a corner lot, the street side setback is 15 feet. Eaves, bay windows, and similar architectural features may project up to 2 feet into a required yard. No setback reduction is permitted within a floodplain overlay."
e88448cb,2.5.1,MF-2,lot standards,Minimum lot size in MF-2,"In the MF-2 (Multifamily Low Density) zoning district, the minimum lot area for a detached single-family or residential use is 8,000 square feet. A lot legally platted before the effective date of this code that does not meet the minimum lot area is a legal nonconforming small lot and may be developed subject to the small-lot standards in Section 6.3."
fffdc549,2.5.2,MF-2,height,Maximum building height in MF-2,"The maximum height of a principal structure in the MF-2 (Multifamily Low Density) district is 40 feet, measured from the average of the highest and lowest grade adjacent to the building to the highest point of the roof. Chimneys, antennas, and rooftop mechanical equipment may exceed the height limit by up to 5 feet if set back from all roof edges."
7a8bad3a,2.5.3,MF-2,lot coverage,Maximum impervious cover and building coverage in MF-2,"In the MF-2 district, maximum building coverage is 50 percent of gross lot area and maximum floor-to-area ratio (FAR) is 0.8. Building coverage includes the principal structure, accessory buildings larger than 120 square feet, and covered porches. Uncovered decks, pools, and at-grade patios are excluded from building coverage but count toward impervious cover, which may not exceed 60 percent."
b59ee7a6,2.5.4,MF-2,setbacks,Setback requirements in MF-2,"Required yards in the MF-2 (Multifamily Low Density) district are: front setback 25 feet, interior side setback 10 feet, and rear setback 15 feet. On a corner lot, the street side setback is 15 feet. Eaves, bay windows, and similar architectural features may project up to 2 feet into a required yard. No setback reduction is permitted within a floodplain overlay."
30764b93,2.6.1,MF-3,lot standards,Minimum lot size in MF-3,"In the MF-3 (Multifamily Medium Density) zoning district, the minimum lot area for a detached single-family or residential use is 8,000 square feet. A lot legally platted before the effective date of this code that does not meet the minimum lot area is a legal nonconforming small lot and may be developed subject to the small-lot standards in Section 6.3."
881c0e10,2.6.2,MF-3,height,Maximum building height in MF-3,"The maximum height of a principal structure in the MF-3 (Multifamily Medium Density) district is 60 feet, measured from the average of the highest and lowest grade adjacent to the building to the highest point of the roof. Chimneys, antennas, and rooftop mechanical equipment may exceed the height limit by up to 5 feet if set back from all roof edges."
b9144689,2.6.3,MF-3,lot coverage,Maximum impervious cover and building coverage in MF-3,"In the MF-3 district, maximum building coverage is 55 percent of gross lot area and maximum floor-to-area ratio (FAR) is 1.0. Building coverage includes the principal structure, accessory buildings larger than 120 square feet, and covered porches. Uncovered decks, pools, and at-grade patios are excluded from building coverage but count toward impervious cover, which may not exceed 65 percent."
d697d4de,2.6.4,MF-3,setbacks,Setback requirements in MF-3,"Required yards in the MF-3 (Multifamily Medium Density) district are: front setback 15 feet, interior side setback 10 feet, and rear setback 15 feet. On a corner lot, the street side setback is 15 feet. Eaves, bay windows, and similar architectural features may project up to 2 feet into a required yard. No setback reduction is permitted within a floodplain overlay."
aaeab367,2.7.1,GR,height,Maximum building height in GR,The maximum height in the GR (Community Commercial) district is 60 feet. Additional height up to 25 percent above the limit may be granted through the density bonus program in Section 7.4 in exchange for on-site affordable housing or ground-floor pedestrian-oriented uses.
1a28ad30,2.7.2,GR,lot coverage,Maximum coverage and FAR in GR,"In the GR district, maximum building coverage is 75 percent and maximum floor-to-area ratio is 1.0. There is no minimum lot size, but lots abutting a residential district must provide the compatibility buffer described in Section 5.2."
225a4d69,2.7.3,GR,setbacks,Setback requirements in GR,"Required setbacks in the GR district are: front 10 feet, interior side 0 feet, rear 10 feet. Where a GR lot shares a property line with a lot zoned SF-1, SF-2, or SF-3, the abutting side or rear setback increases to 25 feet and a solid screening fence or vegetative buffer at least 6 feet high is required."
21554d32,2.8.1,CS,height,Maximum building height in CS,The maximum height in the CS (General Commercial Services) district is 60 feet. Additional height up to 25 percent above the limit may be granted through the density bonus program in Section 7.4 in exchange for on-site affordable housing or ground-floor pedestrian-oriented uses.
f92a92eb,2.8.2,CS,lot coverage,Maximum coverage and FAR in CS,"In the CS district, maximum building coverage is 80 percent and maximum floor-to-area ratio is 2.0. There is no minimum lot size, but lots abutting a residential district must provide the compatibility buffer described in Section 5.2."
76998614,2.8.3,CS,setbacks,Setback requirements in CS,"Required setbacks in the CS district are: front 10 feet, interior side 0 feet, rear 10 feet. Where a CS lot shares a property line with a lot zoned SF-1, SF-2, or SF-3, the abutting side or rear setback increases to 25 feet and a solid screening fence or vegetative buffer at least 6 feet high is required."
90a26a01,2.9.1,LO,height,Maximum building height in LO,The maximum height in the LO (Limited Office) district is 40 feet. Additional height up to 25 percent above the limit may be granted through the density bonus program in Section 7.4 in exchange for on-site affordable housing or ground-floor pedestrian-oriented uses.
8d68f618,2.9.2,LO,lot coverage,Maximum coverage and FAR in LO,"In the LO district, maximum building coverage is 50 percent and maximum floor-to-area ratio is 0.7. There is no minimum lot size, but lots abutting a residential district must provide the compatibility buffer described in Section 5.2."
27ff969c,2.9.3,LO,setbacks,Setback requirements in LO,"Required setbacks in the LO district are: front 25 feet, interior side 10 feet, rear 15 feet. Where a LO lot shares a property line with a lot zoned SF-1, SF-2, or SF-3, the abutting side or rear setback increases to 25 feet and a solid screening fence or vegetative buffer at least 6 feet high is required."
5b19ed4a,3.1,SF-1;SF-2;SF-3,accessory dwelling unit,Where accessory dwelling units are permitted,"One accessory dwelling unit (ADU), also called a secondary apartment, granny flat, or backyard cottage, is permitted by right on any lot in the SF-1, SF-2, or SF-3 district that contains a single-family residence, provided the lot is at least 5,750 square feet. ADUs are not permitted on lots developed with a duplex or two-family residential use."
eb4f6713,3.2,SF-1;SF-2;SF-3,accessory dwelling unit,ADU size and height limits,"An accessory dwelling unit may not exceed 1,100 square feet of gross floor area or a floor-to-area ratio of 0.15, whichever is smaller, and may not exceed two stories or 30 feet in height. An ADU above a detached garage is measured to the same height limit. The ADU counts toward the maximum building coverage and impervious cover of the lot."
0cb50c05,3.3,SF-1;SF-2;SF-3,accessory dwelling unit,ADU placement and separation,"A detached accessory dwelling unit must be located behind the rear wall plane of the principal residence, at least 10 feet from the principal structure, and must observe a 5-foot side and rear setback. An ADU may not be located between the principal structure and the front lot line."
7d7b65f7,3.4,SF-1;SF-2;SF-3,accessory dwelling unit,ADU parking and occupancy,"One additional off-street parking space is required for an accessory dwelling unit, except that no additional parking is required if the lot is within one-quarter mile of a high-frequency transit corridor. Either the principal residence or the ADU must be owner-occupied to use the unit as a short-term rental; long-term rental of either unit is permitted without owner occupancy."
1de9c18e,4.1,ALL,permits,When a building permit is required,"A building permit is required before constructing, enlarging, structurally altering, or demolishing any building or structure, including foundations, additions, garages, carports over 200 square feet, and swimming pools. A permit is not required for one-story detached accessory buildings of 120 square feet or less, fences 6 feet or lower, at-grade patios, or ordinary repairs such as painting and flooring."
c568d14d,4.2,ALL,permits,Documents required for a residential building permit,"A residential building permit application must include a site plan showing lot lines, setbacks, existing and proposed structures, and impervious cover calculations; construction drawings; an energy code compliance form; and, if the lot is in a regulated floodplain, an elevation certificate. Projects that add more than 5,000 square feet of impervious cover also require a drainage plan."
bf4e3f45,4.3,ALL,permits,Foundation and site work permits,"Before pouring a foundation, the applicant must hold an approved building permit, schedule a setback/form inspection, and obtain a separate site development permit if the project disturbs more than one acre or is within 150 feet of a waterway. Pouring a foundation before the form inspection is a stop-work violation subject to a fine of up to $2,000 per day."
b859baf5,4.4,ALL,permits,Demolition permits and historic review,"A demolition permit is required to remove any structure over 120 square feet. If the structure is 45 years old or older, or is within a historic overlay district, the application is routed to the Historic Preservation Office for review before issuance, which may add 30 to 90 days to the timeline."
df8241e9,4.5,ALL,permits,Variances and the Board of Adjustment,A property owner may request a variance from a site development regulation (such as a setback or height limit) from the Board of Adjustment. The board may grant a variance only on a finding of hardship unique to the property that is not self-created and that the variance will not alter the character of the area. Use variances -- permitting a use not allowed in the district -- are prohibited.
423e9c48,4.6,ALL,permits,Rezoning applications,"A request to change a property's zoning district requires a rezoning application, notification of owners within 300 feet, a public hearing before the Planning Commission, and final approval by City Council. If owners of 20 percent or more of the land within 200 feet protest, approval requires a three-fourths vote of Council."
4ba9410a,5.1,ALL,flood,Development in the floodplain overlay,"Within the 100-year floodplain (FEMA Zone AE or A), the lowest finished floor of any new habitable structure must be at least 2 feet above the base flood elevation, and an elevation certificate is required at permit application and again before the certificate of occupancy. Fill may not raise flood elevations on adjacent properties. In the floodway itself, new habitable structures are prohibited."
3d155755,5.2,GR;CS;LO,compatibility,Compatibility buffer next to residential districts,"A commercial lot that abuts or is across an alley from a lot zoned SF-1, SF-2, SF-3, MF-1, MF-2, or MF-3 must provide a compatibility buffer: no structure over 30 feet in height within 50 feet of the residential property line, a landscaped buffer strip at least 10 feet wide, and no outdoor amplified sound between 10 p.m. and 7 a.m."
a52738e8,5.3,ALL,historic,Historic overlay district requirements,"Within a historic overlay district (-H suffix), exterior alterations visible from a public street require a Certificate of Appropriateness from the Historic Landmark Commission before a building permit may be issued. Routine maintenance with in-kind materials is exempt. New construction in the overlay must be compatible in height, scale, and setback with contributing structures."
3aabbcb3,5.4,ALL,trees,Protected tree removal,"A permit is required to remove any tree 19 inches or greater in diameter at breast height. Heritage trees (24 inches or greater of protected species) may be removed only if the tree is dead, diseased, or an imminent hazard, or if preservation would prevent reasonable use of the property; mitigation planting or fee-in-lieu is required."
8d9ea18a,5.5,ALL,flood,Impervious cover near waterways,"Within 150 feet of a classified waterway, impervious cover is limited to 30 percent of net site area regardless of the underlying zoning district, and a 50-foot vegetated critical water quality buffer must remain undisturbed except for permitted utility and trail crossings."
f14f17c0,6.1,ALL,use regulations,Home occupations,"A home occupation is permitted in any residential district if it is conducted entirely within the dwelling or ADU, occupies no more than 25 percent of the floor area, has no more than one nonresident employee on site, generates no more than 10 customer vehicle trips per day, and involves no outdoor storage or display."
1e877446,6.2,ALL,use regulations,Nonconforming uses and structures,"A use or structure that was lawful when established but does not conform to current regulations may continue. A nonconforming structure may be repaired or maintained, but an enlargement must conform to current setbacks and height limits. If a nonconforming use is discontinued for more than 90 consecutive days, it may not be resumed."
